Top (Ma),Base (Ma),Duration (myr)
330.55,331.44,0.89
331.44,331.85,0.41
331.85,331.97,0.12
331.97,332.26,0.29
332.26,332.43,0.17
332.43,333.21,0.78
333.21,333.42,0.21
333.42,334.08,0.66
334.08,334.28,0.2
334.28,334.78,0.5
334.78,334.96,0.18
334.96,335.26,0.3
335.26,335.68,0.42
335.68,336.64,0.96
336.64,336.91,0.27
336.91,337.4,0.49
337.4,337.52,0.12
337.52,343.03,5.51
343.03,343.67,0.64
343.67,344.38,0.71
344.38,346.04,1.66
346.04,347.48,1.44
347.48,355.03,7.55
355.03,356.73,1.7
356.73,356.86,0.13
356.86,357.6,0.74
357.6,357.81,0.21
357.81,358.42,0.61
358.42,358.72,0.3
358.72,359.39,0.67
359.39,359.51,0.12
359.51,359.865,0.355
359.865,363.34,3.475
